,Date,hourly_open,hourly_high,hourly_low,hourly_close,hourly_vol,daily_open,daily_high,daily_low,daily_close,daily_vol,symbol,Label
4515,2016-06-16,206.73,206.84,205.7,206.03,21812448,206.73,208.57,205.59,208.37,149533065,SPY,NONE
4516,2016-06-17,207.17,207.2,206.47,206.47,23507511,207.17,207.2,205.75,206.52,117055748,SPY,HIGH
4517,2016-06-20,208.82,209.61,208.81,209.33,18243337,208.82,209.61,207.75,207.85,82789603,SPY,HIGH
4518,2016-06-21,208.29,208.42,207.78,208.11,13397365,208.3,208.92,207.78,208.44,72461663,SPY,LOWS
4519,2016-06-22,208.65,209.06,208.57,209.03,9925383,208.65,209.5,207.93,208.1,95560471,SPY,NONE
4520,2016-06-23,209.81,209.96,209.27,209.68,14753063,209.81,210.87,209.27,210.81,102731356,SPY,LOWS
4521,2016-06-24,203.65,206.91,203.38,205.94,74076250,203.63,206.91,202.72,203.13,333444397,SPY,HIGH
4522,2016-06-27,201.58,201.6,199.36,199.48,44034350,201.59,201.6,198.65,199.6,248988660,SPY,HIGH
4523,2016-06-28,201.51,202.3,201.25,201.74,31523010,201.48,203.23,201.12,203.2,159382399,SPY,NONE
4524,2016-06-29,204.82,205.6,204.72,205.53,26004155,204.84,206.93,204.72,206.66,137328614,SPY,LOWS
4525,2016-06-30,207.21,207.34,206.56,206.75,17418909,207.21,209.54,206.56,209.48,165021948,SPY,LOWS
4526,2016-07-01,209.36,210.41,209.29,210.35,19378175,209.36,210.49,209.29,209.92,106055333,SPY,LOWS
4527,2016-07-05,208.96,209.08,208.13,208.51,20536189,208.95,209.08,207.71,208.41,109803713,SPY,HIGH
4528,2016-07-06,207.83,208.32,207.19,207.25,20882893,207.83,209.8,207.06,209.66,96021491,SPY,NONE
4529,2016-07-07,209.87,210.65,209.87,210.49,12777152,209.87,210.65,208.63,209.53,85593827,SPY,HIGH
4530,2016-07-08,211.06,211.78,210.78,211.59,23579539,211.05,212.94,210.78,212.65,133970972,SPY,LOWS
4531,2016-07-11,213.2,213.67,212.95,213.15,15545627,213.19,214.07,212.95,213.4,73633937,SPY,LOWS
4532,2016-07-12,214.53,214.94,214.25,214.45,17839882,214.53,215.3,214.25,214.95,101275629,SPY,LOWS
4533,2016-07-13,215.45,215.45,214.75,214.94,14246736,215.44,215.45,214.35,214.92,87324129,SPY,HIGH
4534,2016-07-14,216.4,216.67,215.93,216.4,21827826,216.4,216.67,215.66,216.12,91230870,SPY,HIGH
4535,2016-07-15,216.78,216.82,216.07,216.31,15631964,216.78,216.82,215.31,215.83,107155401,SPY,HIGH
4536,2016-07-18,215.97,216.35,215.67,216.3,9306272,215.97,216.6,215.67,216.41,58725918,SPY,LOWS
4537,2016-07-19,215.92,216.16,215.7,216.02,10544823,215.92,216.23,215.63,216.19,54345728,SPY,NONE
4538,2016-07-20,216.75,216.91,216.24,216.8,10516752,216.75,217.37,216.24,217.09,58159457,SPY,LOWS
4539,2016-07-21,216.94,217.22,216.8,216.93,9498551,216.96,217.22,215.75,216.27,67777310,SPY,HIGH
4540,2016-07-22,216.41,216.48,216.1,216.43,8038190,216.41,217.3,216.1,217.24,62787477,SPY,LOWS
4541,2016-07-25,217.0,217.06,216.2,216.38,10875741,217.0,217.06,215.97,216.65,55873147,SPY,HIGH
4542,2016-07-26,216.53,217.17,216.53,216.95,11268933,216.53,217.17,215.76,216.75,70080493,SPY,HIGH
4543,2016-07-27,217.19,217.27,216.59,216.69,9333612,217.19,217.27,215.62,216.52,84083893,SPY,HIGH
4544,2016-07-28,216.28,216.65,215.8,216.13,14775714,216.29,217.11,215.75,216.77,65035718,SPY,NONE
4545,2016-07-29,216.46,216.86,216.13,216.4,12364539,216.46,217.54,216.13,217.12,79519436,SPY,LOWS
